Name,Position,OverallRating
Doug Christie,SF,69
Duane Causwell,SF,66
Eddie House,SF,70
Eddie Jones,SF,71
Eddie Robinson,SF,69
Eduardo Najera,SF,70
Elden Campbell,SF,69
Eldridge Recasner,SF,72
Elliot Perry,SF,73
Eric Montross,SF,68
Eric Snow,SF,70
Ervin Johnson,SF,69
Felipe Lopez,SF,70
Felton Spencer,SF,64
George Lynch,SF,69
Glen Rice,SF,69
Glenn Robinson,SF,70
Greg Anthony,SF,67
Greg Buckner,SF,69
Greg Foster,SF,65
Greg Ostertag,SF,68
Hedo Turkoglu,SF,70
Hersey Hawkins,SF,69
Horace Grant,SF,68
Howard Eisley,SF,69
Jacque Vaughn,SF,67
Jake Tsakalidis,SF,68
Jalen Rose,SF,69
Jamaal Magloire,SF,69
Jamal Mashburn,SF,71
Jason Caffey,SF,69
Jason Kidd,SF,72
Jason Williams,SF,70
Jeff Foster,SF,69
Jermaine O'Neal,SF,69
Jerome Williams,SF,69
Joel Przybilla,SF,64
John Amaechi,SF,69
John Crotty,SF,70
John Starks,SF,68
John Stockton,SF,72
Jon Barry,SF,69
Jonathan Bender,SF,64
Jumaine Jones,SF,69
Juwan Howard,SF,69
Karl Malone,SF,71
Keon Clark,SF,69
Kevin Garnett,SF,71
Kevin Ollie,SF,71
Kobe Bryant,SF,71
Kurt Thomas,SF,70
LaPhonso Ellis,SF,68
Latrell Sprewell,SF,70
Lawrence Funderburke,SF,69
Lindsey Hunter,SF,69
Malik Rose,SF,69
Marcus Camby,SF,68
Mario Elie,SF,69
Mark Bryant,SF,68
Mark Jackson,SF,71
Mark Madsen,SF,67
Mark Pope,SF,69
Matt Geiger,SF,70
Michael Doleac,SF,68
Michael Finley,SF,70
Michael Stewart,SF,66
Mike Miller,SF,69
Monty Williams,SF,70
Morris Peterson,SF,70
Olden Polynice,SF,69
Othella Harrington,SF,69
Otis Thorpe,SF,67
P.J. Brown,SF,69
Pat Garrity,SF,69
Peja Stojakovic,SF,69
Rafer Alston,SF,68
Raja Bell,SF,69
Rasheed Wallace,SF,69
Rasho Nesterovic,SF,69
Ray Allen,SF,71
Reggie Miller,SF,71
Reggie Slater,SF,68
Rick Brunson,SF,69
Rick Fox,SF,69
Robert Horry,SF,69
Rod Strickland,SF,70
Rodney Buford,SF,68
Rodney Rogers,SF,69
Ron Harper,SF,69
Sam Cassell,SF,71
Sam Mitchell,SF,68
Sam Perkins,SF,67
Samaki Walker,SF,68
Scot Pollard,SF,70
Scott Burrell,SF,71
Scott Williams,SF,69
Scottie Pippen,SF,69
Sean Elliott,SF,69
Shaquille O'Neal,SF,71
Shawn Bradley,SF,69
Shawn Marion,SF,69
Shawnelle Scott,SF,67
Stacey Augmon,SF,71
Steve Kerr,SF,69
Steve Nash,SF,71
Steven Smith,SF,70
Terrell Brandon,SF,71
Terry Porter,SF,70
Tim Duncan,SF,71
Tim Hardaway,SF,70
Tim Thomas,SF,70
Todd MacCulloch,SF,70
Tom Gugliotta,SF,68
Tony Delk,SF,69
Tracy McGrady,SF,72
Tracy Murray,SF,68
Travis Best,SF,71
Travis Knight,SF,63
Troy Hudson,SF,70
Tyrone Hill,SF,68
Tyronn Lue,SF,68
Tyus Edney,SF,73
Vernon Maxwell,SF,68
Vince Carter,SF,71
Vinny Del Negro,SF,70
Vlade Divac,SF,70
Wally Szczerbiak,SF,70
Wang Zhi-zhi,SF,69
Will Perdue,SF,66
William Avery,SF,71
Zan Tabak,SF,66
Aaron McKie,SF,70
Aaron Williams,SF,69
Adrian Griffin,SF,69
Allen Iverson,SF,71
Alvin Jones,SF,66
Alvin Williams,SF,70
Andrei Kirilenko,SF,69
Andrew DeClercq,SF,64
Ansu Sesay,SF,68
Anthony Johnson,SF,70
Anthony Peeler,SF,69
Antoine Walker,SF,70
Antonio Daniels,SF,70
Antonio Davis,SF,69
Austin Croshere,SF,70
Baron Davis,SF,71
Ben Wallace,SF,69
Bobby Jackson,SF,70
Bonzi Wells,SF,70
Brad Miller,SF,69
Brent Barry,SF,70
Brian Scalabrine,SF,67
Brian Shaw,SF,69
Bruce Bowen,SF,68
Bruno Sundov,SF,71
Bryce Drew,SF,75
Bryon Russell,SF,68
Charles Smith,SF,71
Chauncey Billups,SF,70
Cherokee Parks,SF,67
Chris Childs,SF,72
Chris Dudley,SF,68
Chris Webber,SF,71
Chucky Atkins,SF,70
Chucky Brown,SF,70
Clifford Robinson,SF,69
Corie Blount,SF,67
Corliss Williamson,SF,70
Dale Davis,SF,68
Damon Jones,SF,70
Damon Stoudamire,SF,68
Dana Barros,SF,69
Danny Ferry,SF,68
Darrell Armstrong,SF,70
David Robinson,SF,69
David Wesley,SF,69
Dell Curry,SF,70
Derek Anderson,SF,71
Derek Fisher,SF,69
Derrick Coleman,SF,70
Derrick McKey,SF,68
Desmond Mason,SF,69
Devean George,SF,68
Dikembe Mutombo,SF,69
Dirk Nowitzki,SF,70
Don Reid,SF,69
Donny Marshall,SF,66
Donyell Marshall,SF,70
Doug Christie,SF,70
Eduardo Najera,SF,69
Elden Campbell,SF,70
Eric Snow,SF,71
Eric Williams,SF,69
Erick Strickland,SF,70
Evan Eschmeyer,SF,67
Felipe Lopez,SF,67
Gary Payton,SF,71
Gary Trent,SF,69
George Lynch,SF,69
Gerald Wallace,SF,70
Greg Buckner,SF,69
Greg Ostertag,SF,69
Hakeem Olajuwon,SF,69
Hedo Turkoglu,SF,69
Horace Grant,SF,69
Jamaal Magloire,SF,70
Jamaal Tinsley,SF,71
Jamal Mashburn,SF,67
Jamison Brewer,SF,69
Jaren Jackson,SF,65
Jarron Collins,SF,69
Jason Collins,SF,68
Jason Kidd,SF,72
Jeff Foster,SF,70
Jermaine Jackson,SF,69
Jermaine O'Neal,SF,69
Jerome James,SF,68
Jerome Williams,SF,69
Jerry Stackhouse,SF,71
Joe Smith,SF,69
John Stockton,SF,72
Johnny Newman,SF,67
Jon Barry,SF,71
Jonathan Bender,SF,68
Jud Buechler,SF,66
Karl Malone,SF,71
Kedrick Brown,SF,74
Keith Van Horn,SF,70
Kenny Anderson,SF,70
Kenyon Martin,SF,70
Keon Clark,SF,70
Kerry Kittles,SF,69
Kevin Garnett,SF,71
Kevin Ollie,SF,71
Kirk Haston,SF,71
Kobe Bryant,SF,71
Lawrence Funderburke,SF,69
Lee Nailon,SF,69
Lindsey Hunter,SF,68
Lucious Harris,SF,69
Malik Rose,SF,70
